Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,symmetric,symmetric,0.22522939244108262
75% Corpus,9,asymmetric,0.01,0.1929916108071979
75% Corpus,9,asymmetric,0.31,0.47010763891280494
75% Corpus,9,asymmetric,0.61,0.5242173440935625
75% Corpus,9,asymmetric,0.9099999999999999,0.5769909940564995
75% Corpus,9,asymmetric,symmetric,0.34486934151714554
75% Corpus,10,0.01,0.01,0.21863343455306733
75% Corpus,10,0.01,0.31,0.28710564916647896
75% Corpus,10,0.01,0.61,0.3909565740065938
75% Corpus,10,0.01,0.9099999999999999,0.4387688161567132
75% Corpus,10,0.01,symmetric,0.23315095099356303
75% Corpus,10,0.31,0.01,0.19826472756706948
75% Corpus,10,0.31,0.31,0.22787060750102492
75% Corpus,10,0.31,0.61,0.23641665831565856
75% Corpus,10,0.31,0.9099999999999999,0.24708502132115165
75% Corpus,10,0.31,symmetric,0.2039425986162211
75% Corpus,10,0.61,0.01,0.20018213464496132
75% Corpus,10,0.61,0.31,0.22194289616385174
75% Corpus,10,0.61,0.61,0.2190802169311969
75% Corpus,10,0.61,0.9099999999999999,0.248351196774013
75% Corpus,10,0.61,symmetric,0.20380001884646348
75% Corpus,10,0.9099999999999999,0.01,0.18774122816727198
75% Corpus,10,0.9099999999999999,0.31,0.20876914376221026
75% Corpus,10,0.9099999999999999,0.61,0.2040462010563051
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.2136426349697887
75% Corpus,10,0.9099999999999999,symmetric,0.2134481030268019
75% Corpus,10,symmetric,0.01,0.21873255159915755
75% Corpus,10,symmetric,0.31,0.23541438356935837
75% Corpus,10,symmetric,0.61,0.3715053132345215
75% Corpus,10,symmetric,0.9099999999999999,0.4355330947000863
75% Corpus,10,symmetric,symmetric,0.22382443355250023
75% Corpus,10,asymmetric,0.01,0.20258940859184346
75% Corpus,10,asymmetric,0.31,0.492523461578308
75% Corpus,10,asymmetric,0.61,0.5478049345359979
75% Corpus,10,asymmetric,0.9099999999999999,0.5698994059600594
75% Corpus,10,asymmetric,symmetric,0.24924997332814533
100% Corpus,2,0.01,0.01,0.10839422341929728
100% Corpus,2,0.01,0.31,0.12628234114445677
100% Corpus,2,0.01,0.61,0.10770275258311292
100% Corpus,2,0.01,0.9099999999999999,0.12215634417754799
100% Corpus,2,0.01,symmetric,0.11911959910903565
100% Corpus,2,0.31,0.01,0.09499740462402503
100% Corpus,2,0.31,0.31,0.09708427803583677
100% Corpus,2,0.31,0.61,0.09856950466803993
100% Corpus,2,0.31,0.9099999999999999,0.07494910962524123
100% Corpus,2,0.31,symmetric,0.09391992666177318
100% Corpus,2,0.61,0.01,0.06974069780013897
100% Corpus,2,0.61,0.31,0.08172425801808442
100% Corpus,2,0.61,0.61,0.07071790187342958
100% Corpus,2,0.61,0.9099999999999999,0.0830073427041923
100% Corpus,2,0.61,symmetric,0.07527231281512632
100% Corpus,2,0.9099999999999999,0.01,0.07609375727598519
100% Corpus,2,0.9099999999999999,0.31,0.08184169379685852
100% Corpus,2,0.9099999999999999,0.61,0.08095906011911774
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.08095906011911774
100% Corpus,2,0.9099999999999999,symmetric,0.08095906011911774
100% Corpus,2,symmetric,0.01,0.06721413285153291
100% Corpus,2,symmetric,0.31,0.07250063491575771
100% Corpus,2,symmetric,0.61,0.08090471110024017
100% Corpus,2,symmetric,0.9099999999999999,0.08090471110024017
100% Corpus,2,symmetric,symmetric,0.0747465237565425
100% Corpus,2,asymmetric,0.01,0.13047891747135362
100% Corpus,2,asymmetric,0.31,0.2269554810292948
100% Corpus,2,asymmetric,0.61,0.27967902154783253
100% Corpus,2,asymmetric,0.9099999999999999,0.3104821274014622
100% Corpus,2,asymmetric,symmetric,0.2629817535465332
100% Corpus,3,0.01,0.01,0.11090762835446151
100% Corpus,3,0.01,0.31,0.0930107307448909
100% Corpus,3,0.01,0.61,0.15486720258538442
100% Corpus,3,0.01,0.9099999999999999,0.1857475692401015
100% Corpus,3,0.01,symmetric,0.10491256732544037
100% Corpus,3,0.31,0.01,0.13516473500891865
100% Corpus,3,0.31,0.31,0.12748589830420184
100% Corpus,3,0.31,0.61,0.12616250450487573
100% Corpus,3,0.31,0.9099999999999999,0.14250766497918363
100% Corpus,3,0.31,symmetric,0.0998876174757591
100% Corpus,3,0.61,0.01,0.13414316137922425
100% Corpus,3,0.61,0.31,0.10936660633577695
100% Corpus,3,0.61,0.61,0.12488265250539023
100% Corpus,3,0.61,0.9099999999999999,0.11668439958013989
100% Corpus,3,0.61,symmetric,0.11045875156038192
100% Corpus,3,0.9099999999999999,0.01,0.12773094955286213
100% Corpus,3,0.9099999999999999,0.31,0.13130607962869567
100% Corpus,3,0.9099999999999999,0.61,0.12702996137943728
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.1330805643417131
100% Corpus,3,0.9099999999999999,symmetric,0.1237902619651553
100% Corpus,3,symmetric,0.01,0.1331433263839696
100% Corpus,3,symmetric,0.31,0.1209809086491293
100% Corpus,3,symmetric,0.61,0.13357239205817942
100% Corpus,3,symmetric,0.9099999999999999,0.14948350184371353
100% Corpus,3,symmetric,symmetric,0.1262315289033976
100% Corpus,3,asymmetric,0.01,0.1385660037275848
100% Corpus,3,asymmetric,0.31,0.37095897816534773
100% Corpus,3,asymmetric,0.61,0.4073935958922985
100% Corpus,3,asymmetric,0.9099999999999999,0.4492289623107973
100% Corpus,3,asymmetric,symmetric,0.3537099162564799
100% Corpus,4,0.01,0.01,0.13266435078353225
100% Corpus,4,0.01,0.31,0.11805015275090285
100% Corpus,4,0.01,0.61,0.1910225098638762
100% Corpus,4,0.01,0.9099999999999999,0.3032196314508405
100% Corpus,4,0.01,symmetric,0.1308445585763704
100% Corpus,4,0.31,0.01,0.1383435909689042
100% Corpus,4,0.31,0.31,0.1762811992636032
100% Corpus,4,0.31,0.61,0.23936042263157317
100% Corpus,4,0.31,0.9099999999999999,0.20592753050642637
100% Corpus,4,0.31,symmetric,0.23059652177439827
100% Corpus,4,0.61,0.01,0.1581271407564212
100% Corpus,4,0.61,0.31,0.13981752492598903
100% Corpus,4,0.61,0.61,0.14210972598751503
100% Corpus,4,0.61,0.9099999999999999,0.1536630542171042
100% Corpus,4,0.61,symmetric,0.14261637315489598
100% Corpus,4,0.9099999999999999,0.01,0.15555209650942553
100% Corpus,4,0.9099999999999999,0.31,0.1478602372672559
100% Corpus,4,0.9099999999999999,0.61,0.15832458902152494
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.15472171073227736
100% Corpus,4,0.9099999999999999,symmetric,0.1491895261046919
100% Corpus,4,symmetric,0.01,0.154962346699271
100% Corpus,4,symmetric,0.31,0.20088841630922732
100% Corpus,4,symmetric,0.61,0.2370029748113305
100% Corpus,4,symmetric,0.9099999999999999,0.2685741538084254
100% Corpus,4,symmetric,symmetric,0.21272524524253483
100% Corpus,4,asymmetric,0.01,0.19156238551012889
100% Corpus,4,asymmetric,0.31,0.4361597394343451
100% Corpus,4,asymmetric,0.61,0.4778449543813246
100% Corpus,4,asymmetric,0.9099999999999999,0.4786202866873709
100% Corpus,4,asymmetric,symmetric,0.4362321634733064
100% Corpus,5,0.01,0.01,0.1927320476118379
100% Corpus,5,0.01,0.31,0.2454338156119551
100% Corpus,5,0.01,0.61,0.25515451035074144
100% Corpus,5,0.01,0.9099999999999999,0.31813434552760705
100% Corpus,5,0.01,symmetric,0.23424622275448295
100% Corpus,5,0.31,0.01,0.17516579744640465
100% Corpus,5,0.31,0.31,0.2004886267749452
100% Corpus,5,0.31,0.61,0.18420775895481728
100% Corpus,5,0.31,0.9099999999999999,0.23461307241885526
100% Corpus,5,0.31,symmetric,0.2113008802680441
100% Corpus,5,0.61,0.01,0.1818322293379301
100% Corpus,5,0.61,0.31,0.18685007449688032
100% Corpus,5,0.61,0.61,0.19347803190677015
100% Corpus,5,0.61,0.9099999999999999,0.20427396497321718
100% Corpus,5,0.61,symmetric,0.19895457537856734
100% Corpus,5,0.9099999999999999,0.01,0.1795155134839191
100% Corpus,5,0.9099999999999999,0.31,0.19132524619820254
100% Corpus,5,0.9099999999999999,0.61,0.18962827697088266
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.18625235603376508
100% Corpus,5,0.9099999999999999,symmetric,0.1910066807424829
100% Corpus,5,symmetric,0.01,0.1960891806098474
100% Corpus,5,symmetric,0.31,0.2516071129078586
100% Corpus,5,symmetric,0.61,0.25787685423273893
100% Corpus,5,symmetric,0.9099999999999999,0.29425895534250274
100% Corpus,5,symmetric,symmetric,0.19173671826950398
100% Corpus,5,asymmetric,0.01,0.17171187123818246
100% Corpus,5,asymmetric,0.31,0.43994853531734845
100% Corpus,5,asymmetric,0.61,0.45462569100334405
100% Corpus,5,asymmetric,0.9099999999999999,0.4942177875099475
100% Corpus,5,asymmetric,symmetric,0.3847586369128931
100% Corpus,6,0.01,0.01,0.18645422903402023
100% Corpus,6,0.01,0.31,0.2491644683847528
100% Corpus,6,0.01,0.61,0.23520233782276445
100% Corpus,6,0.01,0.9099999999999999,0.31296095368330884
100% Corpus,6,0.01,symmetric,0.221492729601248
100% Corpus,6,0.31,0.01,0.19710287475200453
100% Corpus,6,0.31,0.31,0.20712366914861902
100% Corpus,6,0.31,0.61,0.2316546304564763
100% Corpus,6,0.31,0.9099999999999999,0.25296403581756227
100% Corpus,6,0.31,symmetric,0.19136148314736903
100% Corpus,6,0.61,0.01,0.1967270337391944
100% Corpus,6,0.61,0.31,0.20165975313691145
100% Corpus,6,0.61,0.61,0.2138125818831166
100% Corpus,6,0.61,0.9099999999999999,0.20861417013079442
100% Corpus,6,0.61,symmetric,0.20671431423810596
100% Corpus,6,0.9099999999999999,0.01,0.19332465808374447
100% Corpus,6,0.9099999999999999,0.31,0.20483214967429864
100% Corpus,6,0.9099999999999999,0.61,0.2008178153985948
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.20350142918695094
100% Corpus,6,0.9099999999999999,symmetric,0.1985813619262559
100% Corpus,6,symmetric,0.01,0.1748016575337168
100% Corpus,6,symmetric,0.31,0.18418098753636394
100% Corpus,6,symmetric,0.61,0.22841768598561885
100% Corpus,6,symmetric,0.9099999999999999,0.2417523227295666
100% Corpus,6,symmetric,symmetric,0.22567527341828195
100% Corpus,6,asymmetric,0.01,0.1890293282907173
100% Corpus,6,asymmetric,0.31,0.43504484015914985
100% Corpus,6,asymmetric,0.61,0.4723993381466259
100% Corpus,6,asymmetric,0.9099999999999999,0.4889930799438457
100% Corpus,6,asymmetric,symmetric,0.35934313975579774
100% Corpus,7,0.01,0.01,0.19618952843907814
100% Corpus,7,0.01,0.31,0.20429768028289352
100% Corpus,7,0.01,0.61,0.2713706244693544
100% Corpus,7,0.01,0.9099999999999999,0.3672825118075518
100% Corpus,7,0.01,symmetric,0.2080866846220417
100% Corpus,7,0.31,0.01,0.1948644231015764
100% Corpus,7,0.31,0.31,0.2471649581035281
100% Corpus,7,0.31,0.61,0.20384032528582807
100% Corpus,7,0.31,0.9099999999999999,0.24256585517477366
100% Corpus,7,0.31,symmetric,0.22597107418649073
100% Corpus,7,0.61,0.01,0.19946184253879345
100% Corpus,7,0.61,0.31,0.19621762729917877
100% Corpus,7,0.61,0.61,0.189367526682711
100% Corpus,7,0.61,0.9099999999999999,0.2043135016297901
100% Corpus,7,0.61,symmetric,0.19744456289974052
100% Corpus,7,0.9099999999999999,0.01,0.1950786555505868
100% Corpus,7,0.9099999999999999,0.31,0.2454533009084161
100% Corpus,7,0.9099999999999999,0.61,0.20762169992647736
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.22377881346253803
100% Corpus,7,0.9099999999999999,symmetric,0.24711891836749353
100% Corpus,7,symmetric,0.01,0.20752318708020406
100% Corpus,7,symmetric,0.31,0.21225009426942817
100% Corpus,7,symmetric,0.61,0.22864943893118136
100% Corpus,7,symmetric,0.9099999999999999,0.29315151887743573
100% Corpus,7,symmetric,symmetric,0.20664285727493142
100% Corpus,7,asymmetric,0.01,0.1994651406742402
100% Corpus,7,asymmetric,0.31,0.4239911029138182
100% Corpus,7,asymmetric,0.61,0.4936395372271983
100% Corpus,7,asymmetric,0.9099999999999999,0.5540424821226614
100% Corpus,7,asymmetric,symmetric,0.34577006695104223
100% Corpus,8,0.01,0.01,0.22601622288554657
100% Corpus,8,0.01,0.31,0.2371207742427503
100% Corpus,8,0.01,0.61,0.3625566136844365
100% Corpus,8,0.01,0.9099999999999999,0.43877221599900373
100% Corpus,8,0.01,symmetric,0.23980480699679535
100% Corpus,8,0.31,0.01,0.19633279278425242
100% Corpus,8,0.31,0.31,0.23641741917321585
100% Corpus,8,0.31,0.61,0.2495035740335773
100% Corpus,8,0.31,0.9099999999999999,0.26617978280792703
100% Corpus,8,0.31,symmetric,0.23232612266112085
100% Corpus,8,0.61,0.01,0.20006231249693454
100% Corpus,8,0.61,0.31,0.22150605853872327
100% Corpus,8,0.61,0.61,0.22296246990180146
100% Corpus,8,0.61,0.9099999999999999,0.2264120075618721
100% Corpus,8,0.61,symmetric,0.21881660835823752
100% Corpus,8,0.9099999999999999,0.01,0.1987926455428119
100% Corpus,8,0.9099999999999999,0.31,0.22428368929439452
100% Corpus,8,0.9099999999999999,0.61,0.21825406183015078
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.21021698320420584
100% Corpus,8,0.9099999999999999,symmetric,0.2508730971815363
100% Corpus,8,symmetric,0.01,0.21844378374542123
100% Corpus,8,symmetric,0.31,0.26497776712675164
100% Corpus,8,symmetric,0.61,0.2738908260733559
100% Corpus,8,symmetric,0.9099999999999999,0.3794816257144929
100% Corpus,8,symmetric,symmetric,0.24147503820305
100% Corpus,8,asymmetric,0.01,0.2032795618636576
100% Corpus,8,asymmetric,0.31,0.44702348492248867
100% Corpus,8,asymmetric,0.61,0.4999898398493425
100% Corpus,8,asymmetric,0.9099999999999999,0.5210079733695072
100% Corpus,8,asymmetric,symmetric,0.3473012958356846
100% Corpus,9,0.01,0.01,0.24601112903414638
100% Corpus,9,0.01,0.31,0.2613066799856412
100% Corpus,9,0.01,0.61,0.3401161796865575
100% Corpus,9,0.01,0.9099999999999999,0.4322963050116864
100% Corpus,9,0.01,symmetric,0.25590382664273204
100% Corpus,9,0.31,0.01,0.1955614381049586
100% Corpus,9,0.31,0.31,0.2482655811381009
100% Corpus,9,0.31,0.61,0.23704915739305654
